North Texas,North Texas
Army,Army
TCU,TCU
Coastal Carolina,Coastal Caro.
East Carolina,East Carolina
Winthrop,Winthrop
Western Carolina,Western Caro.
Grand Canyon,Grand Canyon
Texas Southern,Texas Southern
Southeast Missouri St.,Southeast Mo. St.
Saint Peter's,Saint Peter's
Dartmouth,Dartmouth
Seattle,Seattle
Charleston Southern,Charleston So.
Idaho,Idaho
Florida Atlantic,Fla. Atlantic
North Dakota,North Dakota
East Tennessee St.,East Tenn. St.
Troy,Troy
High Point,High Point
Loyola Chicago,Loyola Chicago
Incarnate Word,Incarnate Word
Gardner Webb,Gardner-Webb
Idaho St.,Idaho St.
Lehigh,Lehigh
Cal St. Fullerton,Cal St. Fullerton
Marshall,Marshall
Northern Arizona,Northern Ariz.
South Dakota,South Dakota
Norfolk St.,Norfolk St.
Radford,Radford
Air Force,Air Force
Lipscomb,Lipscomb
Portland St.,Portland St.
North Florida,North Florida
South Alabama,South Ala.
Sacramento St.,Sacramento St.
Illinois Chicago,Ill.-Chicago
James Madison,James Madison
Tennessee Tech,Tennessee Tech
Penn,Penn
Hofstra,Hofstra
Louisiana Monroe,La.-Monroe
Chattanooga,Chattanooga
UMKC,UMKC
Fairfield,Fairfield
Niagara,Niagara
Monmouth,Monmouth
UC Riverside,UC Riverside
Savannah St.,Savannah St.
Texas St.,Texas St.
Western Illinois,Western Ill.
UNC Wilmington,UNC Wilmington
Fairleigh Dickinson,Fairleigh Dickinson
Tulane,Tulane
Chicago St.,Chicago St.
Central Michigan,Central Mich.
Tennessee St.,Tennessee St.
SIU Edwardsville,SIU Edwardsville
Alabama St.,Alabama St.
Liberty,Liberty
Austin Peay,Austin Peay
Georgia Southern,Ga. Southern
Coppin St.,Coppin St.
Loyola MD,Loyola Maryland
Nicholls St.,Nicholls St.
Texas Pan American,Tex.-Pan American
Eastern Illinois,Eastern Ill.
Alabama A&M,Alabama A&M
Navy,Navy
Central Connecticut,Central Conn. St.
Sacred Heart,Sacred Heart
Jacksonville,Jacksonville
Florida A&M,Florida A&M
Montana St.,Montana St.
San Jose St.,San Jose St.
Jackson St.,Jackson St.
Ball St.,Ball St.
Southeastern Louisiana,Southeastern La.
UTSA,UTSA
McNeese St.,McNeese St.
St. Francis PA,Saint Francis (PA)
NJIT,NJIT
Jacksonville St.,Jacksonville St.
New Orleans,New Orleans
Rice,Rice
Northern Kentucky,Northern Ky.
Samford,Samford
UNC Greensboro,UNC Greensboro
UC Davis,UC Davis
Prairie View A&M,Prairie View
Tennessee Martin,UT Martin
Alcorn St.,Alcorn
LIU Brooklyn,LIU Brooklyn
Delaware St.,Delaware St.
Arkansas Pine Bluff,Ark.-Pine Bluff
UMass Lowell,UMass Lowell
UMBC,UMBC
Central Arkansas,Central Ark.
IUPUI,IUPUI
New Hampshire,New Hampshire
Campbell,Campbell
Appalachian St.,Appalachian St.
Howard,Howard
Binghamton,Binghamton
Maryland Eastern Shore,UMES
Stetson,Stetson
Bethune Cookman,Bethune-Cookman
Maine,Maine
Kennesaw St.,Kennesaw St.
Lamar,Lamar
Furman,Furman
North Carolina A&T,N.C. A&T
Cornell,Cornell
Houston Baptist,Houston Baptist
South Carolina St.,South Carolina St.
Mississippi Valley St.,Mississippi Val.
The Citadel,Citadel
Longwood,Longwood
Abilene Christian,Abilene Christian
Grambling St.,Grambling
Presbyterian,Presbyterian
Southern Utah,Southern Utah
